temperature	V(ntc)
4.030000000000462e+01	4.174548e-01
4.040000000000464e+01	4.166182e-01
4.050000000000466e+01	4.157823e-01
4.060000000000468e+01	4.149474e-01
4.070000000000471e+01	4.141133e-01
4.080000000000473e+01	4.132802e-01
4.090000000000475e+01	4.124479e-01
4.100000000000477e+01	4.116165e-01
4.110000000000480e+01	4.107860e-01
4.120000000000482e+01	4.099564e-01
4.130000000000484e+01	4.091277e-01
4.140000000000487e+01	4.082999e-01
4.150000000000489e+01	4.074730e-01
4.160000000000491e+01	4.066470e-01
4.170000000000493e+01	4.058220e-01
4.180000000000496e+01	4.049979e-01
4.190000000000498e+01	4.041746e-01
4.200000000000500e+01	4.033523e-01
4.210000000000502e+01	4.025310e-01
4.220000000000505e+01	4.017106e-01
4.230000000000507e+01	4.008911e-01
4.240000000000509e+01	4.000725e-01
4.250000000000512e+01	3.992549e-01
4.260000000000514e+01	3.984383e-01
4.270000000000516e+01	3.976226e-01
4.280000000000518e+01	3.968078e-01
4.290000000000521e+01	3.959940e-01
4.300000000000523e+01	3.951812e-01
4.310000000000525e+01	3.943693e-01
4.320000000000528e+01	3.935584e-01
4.330000000000530e+01	3.927485e-01
4.340000000000532e+01	3.919395e-01
4.350000000000534e+01	3.911315e-01
4.360000000000537e+01	3.903245e-01
4.370000000000539e+01	3.895185e-01
4.380000000000541e+01	3.887134e-01
4.390000000000543e+01	3.879094e-01
4.400000000000546e+01	3.871063e-01
4.410000000000548e+01	3.863042e-01
4.420000000000550e+01	3.855031e-01
4.430000000000553e+01	3.847030e-01
4.440000000000555e+01	3.839039e-01
4.450000000000557e+01	3.831058e-01
4.460000000000559e+01	3.823088e-01
4.470000000000562e+01	3.815127e-01
4.480000000000564e+01	3.807176e-01
4.490000000000566e+01	3.799236e-01
4.500000000000568e+01	3.791306e-01
4.510000000000571e+01	3.783386e-01
4.520000000000573e+01	3.775476e-01
4.530000000000575e+01	3.767576e-01
4.540000000000578e+01	3.759687e-01
4.550000000000580e+01	3.751808e-01
4.560000000000582e+01	3.743939e-01
4.570000000000584e+01	3.736081e-01
4.580000000000587e+01	3.728233e-01
4.590000000000589e+01	3.720396e-01
4.600000000000591e+01	3.712569e-01
4.610000000000593e+01	3.704752e-01
4.620000000000596e+01	3.696946e-01
4.630000000000598e+01	3.689150e-01
4.640000000000600e+01	3.681365e-01
4.650000000000603e+01	3.673590e-01
4.660000000000605e+01	3.665826e-01
4.670000000000607e+01	3.658073e-01
4.680000000000609e+01	3.650330e-01
4.690000000000612e+01	3.642598e-01
4.700000000000614e+01	3.634876e-01
4.710000000000616e+01	3.627166e-01
4.720000000000618e+01	3.619466e-01
4.730000000000621e+01	3.611776e-01
4.740000000000623e+01	3.604097e-01
4.750000000000625e+01	3.596430e-01
4.760000000000628e+01	3.588772e-01
4.770000000000630e+01	3.581126e-01
4.780000000000632e+01	3.573491e-01
4.790000000000634e+01	3.565866e-01
